鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路２５１巷１號三樓之十,14.22,都市：其他:住宅區,,,1100923,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700806,70.88,1,1,1,有,有,3368000,47517,,0.0,0,含傢俱設備費；,RPUOMLRJIIGGFBG18EA,45.0,6.59,0.0,有,013
員山鄉,土地,新三泰段718地號,1080.07,,特定農業區,農牧用地,1100806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3593920,3327,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPWOMLRJIIGGFBG38EA,0.0,0.0,0.0,無,
宜蘭市,土地,艮門二段261地號,23.96,都市：其他:道路用地,,,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,114000,4758,,0.0,0,包含公共設施保留地用地；,RPQNMLSJIIGGFBG77EA,0.0,0.0,0.0,無,014
宜蘭市,土地,艮門二段261地號,23.96,都市：其他:道路用地,,,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,114000,4758,,0.0,0,包含公共設施保留地用地；,RPRNMLSJIIGGFBG87EA,0.0,0.0,0.0,無,014
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中正北路２８號,1232.0,都市：其他:商業區,,,1100818,土地4建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0780714,1734.24,0,0,0,無,無,185000000,106675,,0.0,0,,RPTNMLQJIIGGFAG77EA,1734.24,0.0,0.0,無,
頭城鎮,土地,北關段448地號,245.06,都市：其他:道路用地,,,1100928,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1111949,4537,,0.0,0,本案土地地上有未登記建物，買方另支付新台幣30萬元向建物所有權人承買。未登記建物；包含公共設施保留地用地；,RPSOMLSJIIGGFBG08EA,0.0,0.0,0.0,無,
宜蘭市,土地,艮門二段261地號,23.96,都市：其他:道路用地,,,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,114000,4758,,0.0,0,包含公共設施保留地用地；,RPSNMLSJIIGGFBG97EA,0.0,0.0,0.0,無,014
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市黎明三路一段５７巷１９號六樓,20.74,都市：其他:住宅區,,,1100924,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840410,108.23,2,2,2,有,有,4900000,45274,,0.0,0,,RPSNMLMKIIGGFBG47EA,68.78,8.67,0.0,有,017
五結鄉,土地,學進段270地號,37.73,都市：其他:住宅區,,,1100915,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,79512,,0.0,0,,RPPNMLMKIIGGFAG07EA,0.0,0.0,0.0,無,
羅東鎮,土地,公正段1305-1地號,190.0,都市：其他:道路用地,,,1100825,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2667000,14037,,0.0,0,包含公共設施保留地用地；,RPSNMLSJIIGGFAG87EA,0.0,0.0,0.0,無,018
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路２４９巷４１號,107.31,都市：其他:住宅區,,,1100920,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100723,200.51,4,2,4,有,無,8050000,40148,,0.0,0,,RPTOMLSJIIGGFAG08EA,175.5,25.01,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山西街２之３號,61.0,都市：其他:商業區,,,1100911,土地1建物1車位0,全,二層,透天厝,住商用,木造,0570516,122.0,2,2,2,有,無,7560000,61967,,0.0,0,,RPUOMLSJIIGGFAG18EA,122.0,0.0,0.0,無,
蘇澳鎮,土地,隘城段272地號,3663.33,都市：其他:工業區,,,1100809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60948800,16638,,0.0,0,,RPWOMLOJIIGGFAG97EA,0.0,0.0,0.0,無,019
壯圍鄉,土地,新社段389地號,2964.0,,一般農業區,農牧用地,1100919,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5290000,1785,,0.0,0,,RPPPMLMKIIGGFBG27DA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉仁愛路１７８號七樓之五,17.65,都市：其他:住宅區,,,1100905,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861226,111.21000000000001,2,2,1,有,有,6900000,62045,,0.0,0,陽台外推；,RPOPMLSJIIGGFBG67DA,67.16,8.67,0.0,有,020
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉礁溪路四段５１號四樓,25.98,都市：其他:住宅區,,,1100828,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730110,70.12,3,1,2,有,無,3700000,52767,,0.0,0,頂樓加蓋；,RPPNMLKKIIGGFBG86DA,59.86,3.26,0.0,無,021
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮河堤路８號七樓之六,24.83,都市：其他:住宅區,,,1100908,土地2建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080103,130.75,0,0,1,有,有,10750000,82218,,0.0,0,第1號、第2號及第43號至第115號停車位屬共有部分之汽車停車位編屬本大廈共有部分建號即大公，其使用應依本大廈住戶管理規約共同使用之,RPSNMLLKIIGGFBG27DA,62.64,9.45,0.0,有,
頭城鎮,車位,宜蘭縣頭城鎮河堤路８號,11.53,都市：其他:住宅區,,,1100908,土地2建物1車位1,一層,十五層,其他,辦公室,鋼筋混凝土造,1080103,60.23,0,0,0,無,有,1000000,,坡道平面,60.23,1000000,僅車位交易；,SPSNMLLKIIGGFBG37DA,0.0,0.0,0.0,有,022
員山鄉,土地,雙連埤段407地號,3186.8,,山坡地保育區,農牧用地,1101001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2892000,907,,0.0,0,,RPUNMLMKIIGGFBG57DA,0.0,0.0,0.0,無,
礁溪鄉,土地,玉光一段957地號,3070.17,,特定農業區,農牧用地,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24140000,7863,,0.0,0,,RPUNMLSJIIGGFBG08DA,0.0,0.0,0.0,無,
礁溪鄉,土地,民生段396地號,1323.0,,特定農業區,農牧用地,1100913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6603300,4991,,0.0,0,,RPTPMLRJIIGGFBG08DA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市女中路三段１１８號四樓之四,16.38,都市：其他:住宅區,,,1100914,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870416,96.33000000000001,2,1,1,有,有,3980000,41316,,0.0,0,,RPPPMLRJIIGGFBG67DA,63.55,6.85,0.0,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉化龍街８巷２號六樓之三,10.4,都市：其他:住宅區,,,1100910,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860811,53.6,1,1,1,有,有,4000000,74627,,0.0,0,,RPXOMLPJIIGGFBG18DA,30.0,2.0,0.0,有,
宜蘭市,土地,乾門一段735地號,13.3,都市：其他:住宅區,,,1100908,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,411100,30910,,0.0,0,地清或未辦繼承標售；,RPQPMLPJIIGGFBG57DA,0.0,0.0,0.0,無,
員山鄉,土地,溫泉段654地號,38.7,都市：其他:道路用地,,,1100520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,91718,2370,,0.0,0,包含公共設施保留地用地；,RPPNMLQJOHGGFBG87DA,0.0,0.0,0.0,無,023
三星鄉,土地,尾塹二段610地號,3317.1,,特定農業區,農牧用地,1100912,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18060000,5445,,0.0,0,,RPWNMLSJIIGGFAG18DA,0.0,0.0,0.0,無,
三星鄉,土地,新萬貴段777地號,3313.64,,特定農業區,農牧用地,1100904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9600000,2897,,0.0,0,,RPOOMLMKIIGGFAG96DA,0.0,0.0,0.0,無,
