鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
和美鎮,房地(土地+建物),彰化縣和美鎮錦西路６７巷６６號六樓之３,27.78,,特定農業區,甲種建築用地,1100923,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100712,82.65,2,2,1,有,無,4500000,54446,,0.0,0,,RPQOMLPJIIGGFBN18DA,55.18,6.87,0.0,有,
和美鎮,土地,嘉寶段1402地號,5176.49,,一般農業區,農牧用地,1100827,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32500000,6278,,0.0,0,,RPXNMLQJIIGGFBN88DA,0.0,0.0,0.0,無,
和美鎮,房地(土地+建物),彰化縣和美鎮錦西路６７巷６６號六樓之５,27.78,,特定農業區,甲種建築用地,1100913,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100712,82.65,2,2,1,有,無,4500000,54446,,0.0,0,,RPUNMLPJIIGGFBN48DA,55.18,6.87,0.0,有,
和美鎮,土地,順天段243地號,27.41,,鄉村區,乙種建築用地,1100331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460095,16786,,0.0,0,,RPRNMLTLRHGGFBN96DA,0.0,0.0,0.0,無,077
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同七街７７號五樓之３,20.65,都市：其他:第二種住宅區,,,1081020,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100729,89.52000000000001,3,1,1,有,有,4660000,52055,一樓平面,0.0,0,,RPWNMLSJRHGGFBN17DA,49.91,7.15,0.0,有,
芬園鄉,土地,新縣庄段467-2地號,412.23,,特定農業區,農牧用地,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,3639,,0.0,0,,RPOOMLOKIIGGFAN87DA,0.0,0.0,0.0,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉彰水路二段２５３巷４９號,54.0,都市：其他:農業區,,,1100922,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630231,85.6,6,2,3,有,無,2200000,25701,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLNKIIGGFAN58DA,85.6,0.0,0.0,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉下厝巷建２０之９號,4272.0,,特定農業區,農牧用地,1100811,土地2建物1車位0,全,一層,透天厝,其他,磚造,0840406,1720.8,0,0,0,無,無,20000000,11623,,0.0,0,本建物主要用途為豬舍。,RPOOMLNKIIGGFAN77DA,1720.8,0.0,0.0,無,
秀水鄉,土地,西興段1786地號,1568.0,都市：其他:農業區,,,1100916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,3827,,0.0,0,,RPTNMLMLIIGGFAN18DA,0.0,0.0,0.0,無,
和美鎮,土地,順天段243地號,164.48,,鄉村區,乙種建築用地,1100331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2761414,16789,,0.0,0,,RPQNMLLLMHGGFBN18DA,0.0,0.0,0.0,無,077
和美鎮,土地,順天段243地號,27.41,,鄉村區,乙種建築用地,1100331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460095,16786,,0.0,0,,RPWNMLTLMHGGFBN96DA,0.0,0.0,0.0,無,077
和美鎮,土地,順天段243地號,27.41,,鄉村區,乙種建築用地,1100331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460095,16786,,0.0,0,,RPXNMLTLMHGGFBN07DA,0.0,0.0,0.0,無,077
和美鎮,土地,順天段243地號,27.41,,鄉村區,乙種建築用地,1100331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460095,16786,,0.0,0,,RPPOMLTLMHGGFBN98DA,0.0,0.0,0.0,無,077
和美鎮,土地,順天段243地號,27.41,,鄉村區,乙種建築用地,1100331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460095,16786,,0.0,0,,RPQOMLTLMHGGFBN09DA,0.0,0.0,0.0,無,077
和美鎮,房地(土地+建物),彰化縣和美鎮柑竹路８０巷８８號,135.05,,鄉村區,乙種建築用地,1100714,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0990831,180.93,4,2,3,有,有,13000000,71851,,0.0,0,陽台外推；其他增建；,RPRNMLOKPHGGFBN78DA,167.65,13.28,0.0,無,
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同七街７７號五樓之２,26.49,都市：其他:第二種住宅區,,,1100731,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100729,110.47999999999999,3,1,2,有,有,6530000,59106,坡道平面,0.0,0,,RPUNMLQJRHGGFBN76DA,62.6,6.25,0.0,有,
和美鎮,土地,順天段243地號,493.43,,鄉村區,乙種建築用地,1100331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8283375,16787,,0.0,0,,RPUNMLQLQHGGFBN86DA,0.0,0.0,0.0,無,077
彰化市,房地(土地+建物),彰化縣彰化市中山路一段５１５巷３之１３號,219.0,都市：其他:住宅區,,,1100923,土地3建物3車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0630110,116.39,6,3,3,有,無,10000000,85918,,0.0,0,,RPPOMLPKIIGGFAN08DA,116.39,0.0,0.0,無,
花壇鄉,土地,新金墩段146地號,7588.71,,特定農業區,農牧用地,1100720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30350000,3999,,0.0,0,,RPVNMLQJIIGGFAN58DA,0.0,0.0,0.0,無,
花壇鄉,土地,新中庄段1075地號,8.17,,鄉村區,乙種建築用地,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,98800,12093,,0.0,0,,RPTNMLLJRHGGFAN68DA,0.0,0.0,0.0,無,084
彰化市,房地(土地+建物)+車位,彰化縣彰化市彰美路一段１４９巷２弄１２號十二樓,27.73,都市：其他:住宅區,,,1100912,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830729,265.62,4,2,2,有,有,10180000,38325,坡道平面,0.0,1200000,,RPPNMLMKRHGGFAN48DA,168.96,11.15,0.0,有,
彰化市,房地(土地+建物),彰化縣彰化市中興路１５８之３號,73.0,都市：其他:住宅區,,,1100913,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0680511,171.24,4,2,3,有,無,21600000,126139,,0.0,0,,RPUNMLMKIIGGFAN18DA,171.24,0.0,0.0,無,
彰化市,土地,竹中段1029地號,162.62,,鄉村區,乙種建築用地,1100807,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7160000,44029,,0.0,0,,RPQNMLNKIIGGFAN87DA,0.0,0.0,0.0,無,
